e,k
2,1.598e-01
1.5,1.350e-01
1,1.105e-01
0.9,1.029e-01
0.8,9.616e-02
0.7,9.148e-02
0.6,8.288e-02
0.5,7.442e-02
0.4,6.668e-02
0.3,5.529e-02
0.2,4.433e-02
0.1,3.037e-02
